time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449100000	19.0048	16.793	4.69656	2.15217	0.575619	lidar	0.117311	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8477	16.9851	4.71027	2.21119	0.639069	radar	6.52173	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6756	17.2176	4.78999	2.24541	0.639267	lidar	1.79829	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.573	17.4224	4.77226	2.22993	0.548034	radar	6.10806	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3603	17.6124	4.8267	2.27707	0.566891	lidar	3.84156	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2242	17.8039	4.81782	2.28024	0.516381	radar	2.39461	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0921	17.9902	4.80204	2.2967	0.507185	lidar	0.905415	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9163	18.1454	4.78889	2.33991	0.540007	radar	1.97939	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7839	18.2892	4.7261	2.3616	0.536098	lidar	1.11332	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6502	18.4708	4.71158	2.36863	0.507652	radar	6.67712	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4566	18.6511	4.75363	2.39645	0.509182	lidar	0.471034	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2757	18.7926	4.73973	2.43149	0.526242	radar	1.76208	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1138	18.9297	4.70389	2.45601	0.525196	lidar	0.340219	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9465	19.1	4.71099	2.46783	0.503662	radar	3.0457	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7299	19.2153	4.71205	2.50831	0.519346	lidar	2.70144	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.54	19.3684	4.72827	2.53213	0.520744	radar	3.23595	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3164	19.5283	4.786	2.5578	0.519077	lidar	0.863271	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0933	19.6118	4.76918	2.60861	0.55626	radar	10.075	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8883	19.7554	4.79109	2.62888	0.548025	lidar	0.776291	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6995	19.8802	4.76526	2.63406	0.50269	radar	3.2171	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4699	20.0323	4.82377	2.65198	0.49386	lidar	1.3714	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2591	20.1739	4.8445	2.66314	0.473728	radar	5.6986	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0698	20.3059	4.83196	2.67462	0.461536	lidar	1.84774	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8397	20.3885	4.83149	2.71193	0.483235	radar	2.13486	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6239	20.5078	4.84264	2.72862	0.47539	lidar	0.639057	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3878	20.5948	4.85945	2.76465	0.499711	radar	1.29436	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1414	20.6691	4.87482	2.79674	0.506657	lidar	0.734862	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9046	20.7404	4.8831	2.83197	0.52671	radar	0.379926	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6314	20.804	4.92933	2.86666	0.534244	lidar	1.76739	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3833	20.835	4.93626	2.91954	0.583526	radar	2.40862	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1368	20.8767	4.93724	2.95242	0.587284	lidar	0.164179	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9049	20.9351	4.93015	2.9741	0.577747	radar	1.76057	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7035	20.9798	4.87721	2.99637	0.572469	lidar	1.89748	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4512	21.0203	4.89874	3.02459	0.57417	radar	2.5767	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2045	21.0577	4.90908	3.0492	0.56961	lidar	0.150175	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9656	21.0775	4.90642	3.08037	0.577868	radar	0.952562	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7223	21.0486	4.88758	3.12376	0.593526	lidar	1.89713	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4751	21.0352	4.88741	3.15922	0.600339	radar	1.08173	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2583	21.0289	4.84946	3.18785	0.600092	lidar	0.687654	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0041	20.9904	4.86104	3.22741	0.610566	radar	4.14176	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.793	20.9525	4.81436	3.2629	0.617347	lidar	0.596992	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.545	20.9515	4.80572	3.26831	0.568753	radar	5.60027	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2659	20.9785	4.87476	3.27272	0.540843	lidar	3.38707	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0271	20.9601	4.87061	3.29179	0.529819	radar	1.02229	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83201	20.921	4.80649	3.32	0.533604	lidar	1.68309	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59766	20.9124	4.77717	3.31855	0.48213	radar	2.37376	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.40363	20.8602	4.71928	3.34794	0.489344	lidar	1.06643	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.18194	20.8188	4.70876	3.3699	0.488017	radar	1.48535	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89164	20.7868	4.79631	3.38039	0.471022	lidar	2.1865	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.67652	20.7076	4.77642	3.4147	0.485571	radar	4.44335	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40216	20.6235	4.84201	3.44128	0.486478	lidar	2.76424	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17376	20.5434	4.84517	3.47027	0.494853	radar	0.0940392	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93189	20.4634	4.86442	3.49318	0.492443	lidar	0.129148	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71584	20.3771	4.86642	3.52614	0.512502	radar	3.48878	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.40968	20.3191	4.97387	3.5275	0.483998	lidar	3.52663	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.17845	20.2224	4.97237	3.54975	0.478989	radar	0.222743	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.91434	20.1399	5.01925	3.56126	0.464598	lidar	0.73104	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.68949	20.0482	5.00432	3.57733	0.452777	radar	0.482651	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.44129	19.9572	5.03037	3.59014	0.441693	lidar	0.357648	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.22464	19.8635	5.01327	3.60749	0.437321	radar	2.83889	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.96188	19.7704	5.06031	3.61463	0.420588	lidar	0.84982	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.73374	19.6245	5.09821	3.65331	0.452002	radar	1.97228	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.55502	19.502	5.03991	3.68212	0.459833	lidar	1.32924	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.35377	19.3527	5.03487	3.71547	0.473971	radar	1.74573	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.13966	19.2513	5.02375	3.72546	0.45947	lidar	1.92693	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94724	19.1394	4.96876	3.73517	0.435431	radar	4.64794	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78319	18.9884	4.92166	3.76913	0.449754	lidar	0.719655	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
